Field,ID,Type (Тип),default,en-us,en,ru,ru-ru,kk-kz,de-de,it-it,tg-cyrl-tj,uz-latn-uz,fr-fr,es-es,pt-br,pt-pt
Description,2,Текст,,"DevProjex turns any folder or Git repository into clean, AI-ready context — project structure, file contents, or both. Before copying or exporting, you can check the result in a live preview.

Smart Ignore removes dependencies, caches, and build files automatically. It follows your project's .gitignore rules, or you can choose to include only Git-tracked files. You can turn folders, file types, and single files on or off — each one works independently.

Choose how you want to work: GUI for a visual view, TUI for the terminal, or CLI for scripts and CI. Export your result as ASCII, Markdown, JSON, or XML — or save the selected files to a folder or ZIP archive.

Search and filters help you handle big codebases. Metrics show file count, lines, characters, and an estimated token count. Local profiles save your project settings. Built-in Git tools let you clone repos, switch branches, and update the cache.

DevProjex runs locally and never changes your files — read-only mode keeps everything safe. No telemetry. No account needed. Available on Windows, Linux, and macOS. Source code is open on GitHub.","DevProjex turns any folder or Git repository into clean, AI-ready context — project structure, file contents, or both. Before copying or exporting, you can check the result in a live preview.

Smart Ignore removes dependencies, caches, and build files automatically. It follows your project's .gitignore rules, or you can choose to include only Git-tracked files. You can turn folders, file types, and single files on or off — each one works independently.

Choose how you want to work: GUI for a visual view, TUI for the terminal, or CLI for scripts and CI. Export your result as ASCII, Markdown, JSON, or XML — or save the selected files to a folder or ZIP archive.

Search and filters help you handle big codebases. Metrics show file count, lines, characters, and an estimated token count. Local profiles save your project settings. Built-in Git tools let you clone repos, switch branches, and update the cache.

DevProjex runs locally and never changes your files — read-only mode keeps everything safe. No telemetry. No account needed. Available on Windows, Linux, and macOS. Source code is open on GitHub.","DevProjex собирает чистый контекст проекта для работы с ИИ — из папки или Git-репозитория: структуру, содержимое файлов или всё сразу. Перед копированием или экспортом результат можно проверить в живом превью.

Smart Ignore автоматически убирает зависимости, кэши и артефакты сборки. Поддерживаются правила .gitignore, а режим отслеживаемых Git-файлов исключает всё, что не входит в индекс. Корневые папки, расширения, исключения и отдельные файлы дерева выбираются независимо друг от друга.

GUI подходит для наглядной работы с проектом, TUI — для терминала и клавиатуры, CLI — для скриптов и CI. Результат копируется или экспортируется в ASCII, Markdown, JSON и XML. Выбранные файлы также можно скопировать в отдельную папку или упаковать в ZIP-архив.

Поиск и фильтрация помогают работать с большими кодовыми базами. Метрики показывают количество строк, символов и примерное число токенов. Локальные профили запоминают параметры проектов, а встроенные Git-инструменты поддерживают клонирование, переключение веток и обновление кэша.

DevProjex работает локально и в режиме read-only: исходные файлы не изменяются, телеметрия не собирается, аккаунт не требуется. Приложение доступно на Windows, Linux и macOS. Исходный код открыт на GitHub.","DevProjex собирает чистый контекст проекта для работы с ИИ — из папки или Git-репозитория: структуру, содержимое файлов или всё сразу. Перед копированием или экспортом результат можно проверить в живом превью.

Smart Ignore автоматически убирает зависимости, кэши и артефакты сборки. Поддерживаются правила .gitignore, а режим отслеживаемых Git-файлов исключает всё, что не входит в индекс. Корневые папки, расширения, исключения и отдельные файлы дерева выбираются независимо друг от друга.

GUI подходит для наглядной работы с проектом, TUI — для терминала и клавиатуры, CLI — для скриптов и CI. Результат копируется или экспортируется в ASCII, Markdown, JSON и XML. Выбранные файлы также можно скопировать в отдельную папку или упаковать в ZIP-архив.

Поиск и фильтрация помогают работать с большими кодовыми базами. Метрики показывают количество строк, символов и примерное число токенов. Локальные профили запоминают параметры проектов, а встроенные Git-инструменты поддерживают клонирование, переключение веток и обновление кэша.

DevProjex работает локально и в режиме read-only: исходные файлы не изменяются, телеметрия не собирается, аккаунт не требуется. Приложение доступно на Windows, Linux и macOS. Исходный код открыт на GitHub.","DevProjex кез келген бума немесе Git репозиторийін ЖИ-мен жұмыс істеуге дайын таза жоба контекстіне айналдырады — жоба құрылымы, файл мазмұны немесе екеуі бірге. Көшіру не экспорттау алдында нәтижені тікелей алдын ала қарау режимінде тексеруге болады.

Smart Ignore тәуелділіктерді, кэштерді және құрастыру артефактілерін автоматты түрде алып тастайды. Жобаның .gitignore ережелері қолданылады немесе тек Git бақылайтын файлдарды қосуға болады. Түбірлік бумалар, файл түрлері, ерекшеліктер және ағаштағы жеке файлдар бір-бірінен тәуелсіз таңдалады.

Әр жұмыс тәсіліне өз интерфейсі бар: GUI көрнекі жұмысқа, TUI терминал мен пернетақтаға, CLI скрипттер мен CI-ге арналған. Нәтижені көшіруге немесе ASCII, Markdown, JSON және XML пішімдеріне экспорттауға болады. Таңдалған файлдарды бөлек бумаға көшіруге не ZIP мұрағатына жинауға да болады.

Іздеу мен сүзгілер үлкен код базаларымен жұмысты жеңілдетеді. Метрикалар файлдар санын, жолдарды, таңбаларды және токендердің шамамен санын көрсетеді. Жергілікті профильдер жоба параметрлерін сақтайды. Кірістірілген Git құралдары репозиторийлерді клондауды, тармақтарды ауыстыруды және кэшті жаңартуды қолдайды.

DevProjex жергілікті әрі тек оқу режимінде жұмыс істейді: бастапқы файлдар өзгертілмейді, телеметрия жиналмайды, тіркелгі қажет емес. Windows, Linux және macOS жүйелерінде қолжетімді. Бастапқы код GitHub-та ашық.","DevProjex verwandelt jeden Ordner oder jedes Git-Repository in sauberen, KI-fertigen Projektkontext — Projektstruktur, Dateiinhalte oder beides. Vor dem Kopieren oder Exportieren lässt sich das Ergebnis in einer Live-Vorschau prüfen.

Smart Ignore entfernt Abhängigkeiten, Caches und Build-Artefakte automatisch. Die .gitignore-Regeln des Projekts werden berücksichtigt; alternativ können ausschließlich von Git verfolgte Dateien einbezogen werden. Stammordner, Dateitypen, Ausschlüsse und einzelne Dateien lassen sich unabhängig voneinander auswählen.

Für jede Arbeitsweise gibt es die passende Oberfläche: GUI für den visuellen Überblick, TUI für Terminal und Tastatur, CLI für Skripte und CI. Das Ergebnis kann kopiert oder als ASCII, Markdown, JSON oder XML exportiert werden. Ausgewählte Dateien lassen sich außerdem in einen separaten Ordner kopieren oder als ZIP-Archiv speichern.

Suche und Filter erleichtern die Arbeit mit großen Codebasen. Metriken zeigen Dateianzahl, Zeilen, Zeichen und eine geschätzte Tokenzahl. Lokale Profile speichern projektspezifische Einstellungen. Integrierte Git-Werkzeuge unterstützen das Klonen von Repositories, den Wechsel von Branches und die Aktualisierung des Caches.

DevProjex arbeitet lokal und schreibgeschützt: Die Quelldateien werden nicht verändert, es wird keine Telemetrie erfasst und kein Konto benötigt. Verfügbar für Windows, Linux und macOS. Der Quellcode ist auf GitHub offen.","DevProjex trasforma qualsiasi cartella o repository Git in un contesto di progetto pulito e pronto per l’IA — struttura, contenuto dei file o entrambi. Prima della copia o dell’esportazione, il risultato può essere controllato in un’anteprima live.

Smart Ignore rimuove automaticamente dipendenze, cache e artefatti di build. Rispetta le regole .gitignore del progetto oppure consente di includere solo i file tracciati da Git. Cartelle radice, tipi di file, esclusioni e singoli file si selezionano in modo indipendente.

Ogni modalità di lavoro ha la sua interfaccia: GUI per la vista grafica, TUI per terminale e tastiera, CLI per script e CI. Il risultato può essere copiato o esportato in ASCII, Markdown, JSON o XML. I file selezionati possono anche essere copiati in una cartella separata o raccolti in un archivio ZIP.

Ricerca e filtri facilitano il lavoro con codebase di grandi dimensioni. Le metriche mostrano numero di file, righe, caratteri e una stima dei token. I profili locali memorizzano le impostazioni dei progetti. Gli strumenti Git integrati consentono di clonare repository, cambiare branch e aggiornare la cache.

DevProjex funziona localmente e in sola lettura: i file sorgente non vengono modificati, non viene raccolta telemetria e non serve alcun account. Disponibile per Windows, Linux e macOS. Il codice sorgente è aperto su GitHub.","DevProjex ҳар ҷузвдон ё репозитории Git-ро ба контексти тоза ва омода барои кор бо зеҳни сунъӣ табдил медиҳад — сохтори лоиҳа, мундариҷаи файлҳо ё ҳар ду. Пеш аз нусхабардорӣ ё содирот натиҷаро дар пешнамоиши зинда санҷидан мумкин аст.

Smart Ignore вобастагиҳо, кешҳо ва артефактҳои сохтро худкор хориҷ мекунад. Қоидаҳои .gitignore-и лоиҳа риоя мешаванд ё метавон танҳо файлҳои аз ҷониби Git пайгиришавандаро ворид кард. Ҷузвдонҳои решавӣ, навъҳои файл, истисноҳо ва файлҳои алоҳидаи дарахт мустақилона интихоб мешаванд.

Барои ҳар тарзи кор интерфейси мувофиқ мавҷуд аст: GUI барои кори аён бо лоиҳа, TUI барои терминал ва клавиатура, CLI барои скриптҳо ва CI. Натиҷаро метавон нусхабардорӣ кард ё ба ASCII, Markdown, JSON ва XML содир намуд. Файлҳои интихобшударо инчунин ба ҷузвдони алоҳида нусха бардоштан ё ба бойгонии ZIP ҷамъ кардан мумкин аст.

Ҷустуҷӯ ва филтрҳо кор бо пойгоҳҳои калони кодро осон мекунанд. Метрикаҳо шумораи файлҳо, сатрҳо, аломатҳо ва шумораи тахминии токенҳоро нишон медиҳанд. Профилҳои маҳаллӣ танзимоти лоиҳаҳоро нигоҳ медоранд. Абзорҳои дарунсохти Git клон кардани репозиторийҳо, иваз кардани шохаҳо ва нав кардани кешро дастгирӣ мекунанд.

DevProjex ба таври маҳаллӣ ва дар реҷаи танҳо хондан кор мекунад: файлҳои манбаъ тағйир дода намешаванд, телеметрия ҷамъ намешавад ва аккаунт лозим нест. Барои Windows, Linux ва macOS дастрас аст. Коди манбаъ дар GitHub кушода аст.","DevProjex har qanday papka yoki Git repozitoriyasini sun’iy intellekt bilan ishlash uchun toza, tayyor loyiha kontekstiga aylantiradi — loyiha tuzilmasi, fayl mazmuni yoki ikkalasi birga. Nusxalash yoki eksport qilishdan oldin natijani jonli ko‘rib chiqishda tekshirish mumkin.

Smart Ignore bog‘liqliklar, keshlar va build artefaktlarini avtomatik olib tashlaydi. Loyiha .gitignore qoidalariga amal qiladi yoki faqat Git kuzatayotgan fayllarni kiritish mumkin. Ildiz papkalar, fayl turlari, istisnolar va daraxtdagi alohida fayllar bir-biridan mustaqil tanlanadi.

Har bir ish usuli uchun mos interfeys bor: GUI loyihani ko‘rgazmali boshqarish, TUI terminal va klaviatura, CLI esa skriptlar va CI uchun. Natijani nusxalash yoki ASCII, Markdown, JSON va XML formatlariga eksport qilish mumkin. Tanlangan fayllarni alohida papkaga ko‘chirish yoki ZIP arxiviga joylash ham mumkin.

Qidiruv va filtrlar katta kod bazalari bilan ishlashni osonlashtiradi. Metrikalar fayllar soni, satrlar, belgilar va tokenlarning taxminiy sonini ko‘rsatadi. Lokal profillar loyiha sozlamalarini saqlaydi. Ichki Git vositalari repozitoriyalarni klonlash, branch almashtirish va keshni yangilashni qo‘llab-quvvatlaydi.

DevProjex lokal va faqat o‘qish rejimida ishlaydi: manba fayllar o‘zgartirilmaydi, telemetriya yig‘ilmaydi va akkaunt talab qilinmaydi. Windows, Linux va macOS uchun mavjud. Manba kod GitHub’da ochiq.","DevProjex transforme n’importe quel dossier ou dépôt Git en contexte de projet propre et prêt pour l’IA — arborescence, contenu des fichiers ou les deux. Avant la copie ou l’export, le résultat peut être vérifié dans un aperçu en direct.

Smart Ignore supprime automatiquement les dépendances, les caches et les artefacts de compilation. Les règles .gitignore du projet sont respectées, avec la possibilité de ne conserver que les fichiers suivis par Git. Dossiers racines, types de fichiers, exclusions et fichiers individuels se sélectionnent indépendamment.

Chaque usage dispose de son interface : GUI pour une vue visuelle, TUI pour le terminal et le clavier, CLI pour les scripts et la CI. Le résultat peut être copié ou exporté en ASCII, Markdown, JSON ou XML. Les fichiers sélectionnés peuvent aussi être copiés dans un dossier séparé ou regroupés dans une archive ZIP.

La recherche et les filtres facilitent le travail sur les grandes bases de code. Les métriques indiquent le nombre de fichiers, de lignes, de caractères et une estimation des tokens. Les profils locaux mémorisent les paramètres de chaque projet. Les outils Git intégrés permettent de cloner des dépôts, changer de branche et actualiser le cache.

DevProjex fonctionne localement et en lecture seule : les fichiers source ne sont pas modifiés, aucune télémétrie n’est collectée et aucun compte n’est nécessaire. Disponible sur Windows, Linux et macOS. Le code source est ouvert sur GitHub.","DevProjex convierte cualquier carpeta o repositorio Git en un contexto de proyecto limpio y listo para la IA: estructura, contenido de los archivos o ambos. Antes de copiar o exportar, el resultado se puede comprobar en una vista previa en directo.

Smart Ignore elimina automáticamente dependencias, cachés y artefactos de compilación. Respeta las reglas .gitignore del proyecto o permite incluir únicamente los archivos seguidos por Git. Las carpetas raíz, los tipos de archivo, las exclusiones y los archivos individuales se seleccionan de forma independiente.

Cada forma de trabajo tiene su interfaz: GUI para una vista visual, TUI para el terminal y el teclado, y CLI para scripts y CI. El resultado se puede copiar o exportar como ASCII, Markdown, JSON o XML. Los archivos seleccionados también se pueden copiar a otra carpeta o guardar en un archivo ZIP.

La búsqueda y los filtros facilitan el trabajo con bases de código grandes. Las métricas muestran el número de archivos, líneas, caracteres y una estimación de tokens. Los perfiles locales guardan la configuración de cada proyecto. Las herramientas Git integradas permiten clonar repositorios, cambiar de rama y actualizar la caché.

DevProjex funciona localmente y en modo de solo lectura: no modifica los archivos originales, no recopila telemetría y no requiere una cuenta. Disponible para Windows, Linux y macOS. El código fuente está abierto en GitHub.","O DevProjex transforma qualquer pasta ou repositório Git em um contexto de projeto limpo e pronto para IA — estrutura, conteúdo dos arquivos ou ambos. Antes de copiar ou exportar, você pode conferir o resultado em uma visualização ao vivo.

O Smart Ignore remove automaticamente dependências, caches e artefatos de build. Ele respeita as regras .gitignore do projeto ou permite incluir somente os arquivos rastreados pelo Git. Pastas raiz, tipos de arquivo, exclusões e arquivos individuais podem ser selecionados de forma independente.

Cada forma de trabalho tem sua interface: GUI para uma visão visual, TUI para terminal e teclado, e CLI para scripts e CI. O resultado pode ser copiado ou exportado em ASCII, Markdown, JSON ou XML. Os arquivos selecionados também podem ser copiados para outra pasta ou reunidos em um arquivo ZIP.

Busca e filtros facilitam o trabalho com codebases grandes. As métricas mostram quantidade de arquivos, linhas, caracteres e uma estimativa de tokens. Perfis locais salvam as configurações de cada projeto. As ferramentas Git integradas permitem clonar repositórios, trocar de branch e atualizar o cache.

O DevProjex funciona localmente e em modo somente leitura: os arquivos de origem não são alterados, nenhuma telemetria é coletada e não é preciso criar uma conta. Disponível para Windows, Linux e macOS. O código-fonte é aberto no GitHub.","O DevProjex transforma qualquer pasta ou repositório Git num contexto de projeto limpo e pronto para IA — estrutura, conteúdo dos ficheiros ou ambos. Antes de copiar ou exportar, pode verificar o resultado numa pré-visualização em tempo real.

O Smart Ignore remove automaticamente dependências, caches e artefactos de compilação. Respeita as regras .gitignore do projeto ou permite incluir apenas os ficheiros controlados pelo Git. Pastas raiz, tipos de ficheiro, exclusões e ficheiros individuais podem ser selecionados de forma independente.

Cada forma de trabalho tem a sua interface: GUI para uma vista visual, TUI para o terminal e teclado, e CLI para scripts e CI. O resultado pode ser copiado ou exportado em ASCII, Markdown, JSON ou XML. Os ficheiros selecionados também podem ser copiados para outra pasta ou reunidos num arquivo ZIP.

A pesquisa e os filtros facilitam o trabalho com bases de código grandes. As métricas mostram o número de ficheiros, linhas, caracteres e uma estimativa de tokens. Os perfis locais guardam as definições de cada projeto. As ferramentas Git integradas permitem clonar repositórios, mudar de branch e atualizar a cache.

O DevProjex funciona localmente e em modo só de leitura: os ficheiros de origem não são alterados, não é recolhida telemetria e não é necessária uma conta. Disponível para Windows, Linux e macOS. O código-fonte está aberto no GitHub."
ReleaseNotes,3,Текст,,"DevProjex 5.0 adds full CLI and TUI experiences alongside the GUI, Git-tracked file mode, system theme support, and update checks. Preview and parameter workflows were refined, with smoother tree and panel animations, faster startup, and better behavior on large projects. Ignore rules, export, help, and cross-platform reliability were strengthened.","DevProjex 5.0 adds full CLI and TUI experiences alongside the GUI, Git-tracked file mode, system theme support, and update checks. Preview and parameter workflows were refined, with smoother tree and panel animations, faster startup, and better behavior on large projects. Ignore rules, export, help, and cross-platform reliability were strengthened.","В DevProjex 5.0 появились полноценные CLI и TUI в дополнение к GUI, режим только отслеживаемых Git-файлов, системная тема и проверка обновлений. Переработаны превью и работа с параметрами, улучшены анимации дерева и панелей, запуск и поведение на больших проектах. Усилены логика исключений, экспорт, справка и кроссплатформенная стабильность.","В DevProjex 5.0 появились полноценные CLI и TUI в дополнение к GUI, режим только отслеживаемых Git-файлов, системная тема и проверка обновлений. Переработаны превью и работа с параметрами, улучшены анимации дерева и панелей, запуск и поведение на больших проектах. Усилены логика исключений, экспорт, справка и кроссплатформенная стабильность.","DevProjex 5.0 нұсқасында GUI-ге толық CLI және TUI интерфейстері, Git бақылайтын файлдар режимі, жүйелік тақырып және жаңартуларды тексеру қосылды. Алдын ала қарау мен параметрлер жетілдіріліп, ағаш пен панель анимациялары, іске қосылу жылдамдығы және үлкен жобалардағы жұмыс жақсарды. Ерекшеліктер логикасы, экспорт, анықтама және кроссплатформалық тұрақтылық күшейтілді.","DevProjex 5.0 ergänzt die GUI um vollständige CLI- und TUI-Oberflächen sowie den Git-Tracked-Modus, Systemdesign-Unterstützung und Update-Prüfungen. Vorschau und Parameterabläufe wurden überarbeitet; Baum- und Panelanimationen, Startzeit und das Verhalten bei großen Projekten wurden verbessert. Ausschlusslogik, Export, Hilfe und plattformübergreifende Stabilität wurden gestärkt.","DevProjex 5.0 affianca alla GUI interfacce CLI e TUI complete, la modalità file tracciati da Git, il tema di sistema e il controllo degli aggiornamenti. Anteprima e parametri sono stati perfezionati, con animazioni più fluide, avvio più rapido e migliore gestione dei progetti grandi. Rafforzate logica delle esclusioni, esportazione, guida e affidabilità multipiattaforma.","Дар DevProjex 5.0 ба GUI интерфейсҳои пурраи CLI ва TUI, реҷаи файлҳои пайгиришавандаи Git, мавзӯи система ва санҷиши навсозиҳо илова шуданд. Пешнамоиш ва танзимот такмил ёфта, аниматсияҳо, оғози барнома ва кор бо лоиҳаҳои калон беҳтар шуданд. Мантиқи истисноҳо, содирот, ёрӣ ва устувории кроссплатформавӣ низ мустаҳкам гардиданд.","DevProjex 5.0 versiyasida GUI bilan birga to‘liq CLI va TUI interfeyslari, Git kuzatadigan fayllar rejimi, tizim mavzusi va yangilanishlarni tekshirish qo‘shildi. Ko‘rib chiqish va parametrlar jarayoni yaxshilanib, animatsiyalar, ishga tushish tezligi va katta loyihalardagi ishlash takomillashtirildi. Istisnolar mantiqi, eksport, yordam va kross-platforma barqarorligi kuchaytirildi.","DevProjex 5.0 ajoute des interfaces CLI et TUI complètes aux côtés de la GUI, le mode fichiers suivis par Git, le thème système et la recherche de mises à jour. Les parcours d’aperçu et de paramètres ont été affinés, avec des animations plus fluides, un démarrage plus rapide et un meilleur comportement sur les grands projets. Les exclusions, l’export, l’aide et la fiabilité multiplateforme ont été renforcés.","DevProjex 5.0 incorpora experiencias CLI y TUI completas junto a la GUI, el modo de archivos seguidos por Git, el tema del sistema y la búsqueda de actualizaciones. Se han perfeccionado la vista previa y los parámetros, con animaciones más fluidas, un inicio más rápido y mejor comportamiento en proyectos grandes. También se han reforzado las exclusiones, la exportación, la ayuda y la fiabilidad multiplataforma.","O DevProjex 5.0 adiciona experiências completas de CLI e TUI ao lado da GUI, modo de arquivos rastreados pelo Git, tema do sistema e verificação de atualizações. A visualização e os parâmetros foram refinados, com animações mais suaves, inicialização mais rápida e melhor comportamento em projetos grandes. Exclusões, exportação, ajuda e confiabilidade multiplataforma também foram reforçadas.","O DevProjex 5.0 acrescenta experiências completas de CLI e TUI à GUI, modo de ficheiros controlados pelo Git, tema do sistema e pesquisa de atualizações. A pré-visualização e as definições foram aperfeiçoadas, com animações mais fluidas, arranque mais rápido e melhor comportamento em projetos grandes. As exclusões, exportação, ajuda e fiabilidade multiplataforma também foram reforçadas."
Title,4,Текст,,DevProjex,DevProjex,DevProjex,DevProjex,DevProjex,DevProjex,DevProjex,DevProjex,DevProjex,DevProjex,DevProjex,DevProjex,DevProjex
ShortTitle,5,Текст,,,,,,,,,,,,,,
SortTitle,6,Текст,,,,,,,,,,,,,,
VoiceTitle,7,Текст,,,,,,,,,,,,,,
ShortDescription,8,Текст,,"DevProjex turns your project into clean codebase context for ChatGPT, Claude, and other AI tools — from any folder or Git repository. Smart Ignore automatically strips out dependencies, caches, and build artifacts, with support for .gitignore and Git-tracked mode. GUI, TUI, and CLI in one app. Export to ASCII, Markdown, JSON, XML, or ZIP. Local, no signup, read-only.","DevProjex turns your project into clean codebase context for ChatGPT, Claude, and other AI tools — from any folder or Git repository. Smart Ignore automatically strips out dependencies, caches, and build artifacts, with support for .gitignore and Git-tracked mode. GUI, TUI, and CLI in one app. Export to ASCII, Markdown, JSON, XML, or ZIP. Local, no signup, read-only.","DevProjex превращает проект в чистый контекст для ChatGPT, Claude и других ИИ — из папки или Git-репозитория. Smart Ignore автоматически убирает зависимости, кэши и артефакты сборки, поддерживаются .gitignore и режим Git-tracked файлов. GUI, TUI и CLI в одном приложении. Экспорт в ASCII, Markdown, JSON, XML или ZIP. Локально, без регистрации, read-only.","DevProjex превращает проект в чистый контекст для ChatGPT, Claude и других ИИ — из папки или Git-репозитория. Smart Ignore автоматически убирает зависимости, кэши и артефакты сборки, поддерживаются .gitignore и режим Git-tracked файлов. GUI, TUI и CLI в одном приложении. Экспорт в ASCII, Markdown, JSON, XML или ZIP. Локально, без регистрации, read-only.","DevProjex кез келген бума не Git репозиторийінен ChatGPT, Claude және басқа ЖИ құралдарына арналған таза код контекстін жасайды. Smart Ignore тәуелділіктерді, кэштерді және құрастыру артефактілерін автоматты түрде алып тастайды; .gitignore және Git бақылайтын файлдар режимі қолданылады. GUI, TUI және CLI бір қолданбада. ASCII, Markdown, JSON, XML немесе ZIP экспорты. Жергілікті, тіркелусіз, тек оқу режимінде.","DevProjex verwandelt Projekte aus Ordnern oder Git-Repositories in sauberen Codebase-Kontext für ChatGPT, Claude und andere KI-Tools. Smart Ignore entfernt Abhängigkeiten, Caches und Build-Artefakte; .gitignore und Git-Tracked-Modus werden unterstützt. GUI, TUI und CLI in einer App. Export als ASCII, Markdown, JSON, XML oder ZIP. Lokal, ohne Anmeldung, schreibgeschützt.","DevProjex trasforma qualsiasi cartella o repository Git in un contesto pulito per ChatGPT, Claude e altri strumenti IA. Smart Ignore elimina automaticamente dipendenze, cache e artefatti di build, con supporto per .gitignore e modalità file tracciati da Git. GUI, TUI e CLI in un’unica app. Export in ASCII, Markdown, JSON, XML o ZIP. Locale, senza registrazione, in sola lettura.","DevProjex ҳар ҷузвдон ё репозитории Git-ро ба контексти тозаи код барои ChatGPT, Claude ва дигар абзорҳои зеҳни сунъӣ табдил медиҳад. Smart Ignore вобастагиҳо, кешҳо ва артефактҳои сохтро худкор хориҷ мекунад; .gitignore ва реҷаи файлҳои пайгиришавандаи Git дастгирӣ мешаванд. GUI, TUI ва CLI дар як барнома. Содирот ба ASCII, Markdown, JSON, XML ё ZIP. Маҳаллӣ, бе сабти ном, танҳо хондан.","DevProjex har qanday papka yoki Git repozitoriyasini ChatGPT, Claude va boshqa AI vositalari uchun toza kod kontekstiga aylantiradi. Smart Ignore bog‘liqliklar, keshlar va build artefaktlarini avtomatik olib tashlaydi; .gitignore va Git kuzatadigan fayllar rejimi qo‘llanadi. GUI, TUI va CLI bitta ilovada. ASCII, Markdown, JSON, XML yoki ZIP eksporti. Lokal, ro‘yxatdan o‘tmasdan, faqat o‘qish rejimida.","DevProjex transforme tout dossier ou dépôt Git en contexte de code propre pour ChatGPT, Claude et d’autres outils d’IA. Smart Ignore retire automatiquement dépendances, caches et artefacts de compilation, avec prise en charge de .gitignore et du mode fichiers suivis par Git. GUI, TUI et CLI dans une seule application. Export en ASCII, Markdown, JSON, XML ou ZIP. Local, sans inscription, en lecture seule.","DevProjex convierte cualquier carpeta o repositorio Git en contexto de código limpio para ChatGPT, Claude y otras herramientas de IA. Smart Ignore elimina dependencias, cachés y artefactos de compilación, con soporte para .gitignore y archivos seguidos por Git. GUI, TUI y CLI en una sola aplicación. Exportación a ASCII, Markdown, JSON, XML o ZIP. Local, sin registro y de solo lectura.","O DevProjex transforma qualquer pasta ou repositório Git em contexto de código limpo para ChatGPT, Claude e outras ferramentas de IA. O Smart Ignore remove dependências, caches e artefatos de build, com suporte a .gitignore e arquivos rastreados pelo Git. GUI, TUI e CLI em um só app. Exporte para ASCII, Markdown, JSON, XML ou ZIP. Local, sem cadastro e somente leitura.","O DevProjex transforma qualquer pasta ou repositório Git em contexto de código limpo para ChatGPT, Claude e outras ferramentas de IA. O Smart Ignore remove dependências, caches e artefactos de compilação, com suporte para .gitignore e ficheiros controlados pelo Git. GUI, TUI e CLI numa só aplicação. Exporte para ASCII, Markdown, JSON, XML ou ZIP. Local, sem registo e só de leitura."
DevStudio,9,Текст,,Avazbek Olimov,Avazbek Olimov,Avazbek Olimov,Avazbek Olimov,Avazbek Olimov,Avazbek Olimov,Avazbek Olimov,Avazbek Olimov,Avazbek Olimov,Avazbek Olimov,Avazbek Olimov,Avazbek Olimov,Avazbek Olimov
CopyrightTrademarkInformation,12,Текст,,© 2026 Avazbek Olimov,© 2026 Avazbek Olimov,© 2026 Avazbek Olimov,© 2026 Avazbek Olimov,© 2026 Avazbek Olimov,© 2026 Avazbek Olimov,© 2026 Avazbek Olimov,© 2026 Avazbek Olimov,© 2026 Avazbek Olimov,© 2026 Avazbek Olimov,© 2026 Avazbek Olimov,© 2026 Avazbek Olimov,© 2026 Avazbek Olimov
AdditionalLicenseTerms,13,Текст,,,,,,,,,,,,,,
